id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
17,base,2.93 (± 0.96),3.77 (± 1.02),3.11 (± 0.52),4.04 (± 0.21),3.66 (± 0.90),3.20 (± 1.18)
18,base,2.80 (± 1.02),3.51 (± 1.14),1.10 (± 0.41),4.49 (± 0.51),3.43 (± 1.00),4.41 (± 0.92)
19,base,1.66 (± 1.15),3.59 (± 1.04),1.73 (± 0.76),4.01 (± 0.09),3.27 (± 1.03),1.49 (± 0.70)
20,base,2.48 (± 1.11),3.71 (± 1.10),1.92 (± 0.97),4.00 (± 0.03),2.97 (± 1.09),1.88 (± 0.97)
21,base,2.12 (± 1.61),2.81 (± 1.74),1.97 (± 0.49),2.00 (± 0.00),2.36 (± 1.20),1.02 (± 0.14)
22,base,3.55 (± 0.86),3.79 (± 0.84),3.72 (± 0.61),4.00 (± 0.00),3.37 (± 0.91),3.52 (± 0.82)
23,base,2.85 (± 1.78),1.72 (± 1.47),1.12 (± 0.56),1.00 (± 0.00),2.00 (± 1.19),1.01 (± 0.11)
24,base,3.75 (± 0.88),4.05 (± 1.18),4.70 (± 0.46),5.00 (± 0.00),4.13 (± 0.70),4.43 (± 0.51)
25,base,2.73 (± 1.55),3.03 (± 1.41),1.20 (± 0.57),2.00 (± 0.00),2.47 (± 1.11),1.01 (± 0.11)
26,base,3.95 (± 0.82),3.87 (± 1.22),4.18 (± 0.59),4.45 (± 0.50),3.90 (± 0.77),4.30 (± 0.47)
27,base,1.21 (± 0.78),3.42 (± 1.31),1.35 (± 0.55),2.00 (± 0.20),2.59 (± 1.16),1.01 (± 0.11)
28,base,3.22 (± 1.49),3.81 (± 1.24),4.57 (± 0.53),4.19 (± 0.46),3.99 (± 0.79),4.20 (± 0.57)
29,base,3.37 (± 0.95),3.74 (± 1.01),3.84 (± 0.47),4.87 (± 0.33),3.91 (± 0.79),4.34 (± 0.49)
30,base,4.33 (± 0.81),3.99 (± 1.08),4.43 (± 0.63),4.48 (± 0.50),4.02 (± 0.74),4.21 (± 0.47)
31,base,4.68 (± 0.51),4.29 (± 0.79),4.82 (± 0.40),3.87 (± 0.56),3.77 (± 0.84),4.70 (± 0.47)
32,base,3.32 (± 1.28),3.98 (± 0.83),4.14 (± 0.39),4.95 (± 0.21),3.93 (± 0.78),4.49 (± 0.53)
33,base,3.65 (± 0.83),4.02 (± 1.16),4.46 (± 0.57),4.02 (± 0.14),3.87 (± 0.76),4.67 (± 0.54)
34,base,2.62 (± 1.67),2.97 (± 1.47),2.26 (± 1.39),1.99 (± 0.08),2.53 (± 1.04),1.10 (± 0.30)
35,base,4.24 (± 1.11),3.59 (± 1.37),4.96 (± 0.20),3.44 (± 0.92),3.55 (± 1.11),4.12 (± 0.36)
36,base,3.06 (± 1.40),3.46 (± 1.19),3.35 (± 0.95),2.00 (± 0.03),3.74 (± 0.87),1.43 (± 0.52)
37,base,4.47 (± 0.80),4.17 (± 0.77),4.74 (± 0.52),4.83 (± 0.37),4.12 (± 0.78),4.22 (± 0.45)
38,base,2.12 (± 1.60),2.88 (± 1.80),1.02 (± 0.15),1.00 (± 0.00),2.20 (± 1.07),1.00 (± 0.08)
39,base,3.57 (± 0.87),3.95 (± 0.98),3.53 (± 0.72),4.42 (± 0.49),3.77 (± 0.94),4.08 (± 0.80)
40,base,4.38 (± 0.89),3.74 (± 1.36),4.68 (± 0.53),4.98 (± 0.15),4.13 (± 0.86),4.71 (± 0.45)
41,base,3.91 (± 0.70),4.27 (± 0.82),3.31 (± 0.53),4.71 (± 0.45),3.91 (± 0.76),4.84 (± 0.41)
42,base,2.29 (± 1.52),3.46 (± 1.23),2.27 (± 0.87),2.00 (± 0.00),3.00 (± 1.01),1.04 (± 0.21)
43,base,2.82 (± 1.02),4.00 (± 1.03),4.44 (± 0.53),4.00 (± 0.04),4.06 (± 0.71),4.87 (± 0.34)
44,base,2.18 (± 1.60),3.24 (± 1.28),1.48 (± 0.55),2.79 (± 0.99),2.62 (± 1.18),1.05 (± 0.25)
45,base,4.42 (± 0.77),4.02 (± 1.20),4.91 (± 0.30),4.98 (± 0.13),4.13 (± 0.75),4.87 (± 0.34)
46,base,2.72 (± 1.57),3.15 (± 1.11),1.38 (± 0.69),2.00 (± 0.00),2.38 (± 1.10),1.08 (± 0.31)
47,base,4.55 (± 0.62),3.84 (± 1.22),4.87 (± 0.41),4.89 (± 0.32),4.13 (± 0.75),4.75 (± 0.43)
48,base,3.45 (± 1.17),3.56 (± 1.35),2.65 (± 0.92),4.36 (± 0.48),3.19 (± 0.98),3.28 (± 0.69)
49,base,3.61 (± 0.94),3.84 (± 1.10),3.65 (± 0.54),4.00 (± 0.06),3.85 (± 0.72),4.27 (± 0.64)
50,base,4.02 (± 0.84),4.04 (± 0.96),4.63 (± 0.52),4.98 (± 0.14),4.10 (± 0.74),4.80 (± 0.40)
52,base,3.71 (± 1.17),3.75 (± 1.12),1.94 (± 0.49),2.00 (± 0.00),2.63 (± 1.01),1.02 (± 0.16)
