id,persona,llama3.1:8b,mistral:7b,qwen2.5:7b,llama3.3:70b,mistral-large:123b,qwen2.5:72b
22,base,1.89 (± 1.52),3.38 (± 1.28),1.03 (± 0.19),1.84 (± 0.72),2.20 (± 1.23),1.01 (± 0.09)
23,base,4.52 (± 0.97),2.87 (± 1.88),4.33 (± 1.04),5.00 (± 0.06),3.98 (± 1.08),4.82 (± 0.40)
24,base,1.83 (± 1.42),3.22 (± 1.37),1.01 (± 0.11),1.01 (± 0.11),2.12 (± 1.20),1.25 (± 0.56)
25,base,3.86 (± 1.20),3.62 (± 1.09),4.97 (± 0.17),4.54 (± 0.50),3.96 (± 0.91),4.34 (± 0.48)
26,base,3.50 (± 1.44),3.12 (± 1.42),3.32 (± 1.39),3.78 (± 1.16),2.39 (± 1.19),1.04 (± 0.21)
27,base,4.64 (± 0.52),3.96 (± 1.30),4.98 (± 0.15),5.00 (± 0.00),3.91 (± 1.12),4.85 (± 0.36)
28,base,1.79 (± 1.39),3.11 (± 1.37),1.01 (± 0.14),2.00 (± 0.06),2.42 (± 1.21),1.06 (± 0.25)
29,base,2.19 (± 1.60),3.29 (± 1.33),1.01 (± 0.13),1.03 (± 0.36),2.69 (± 1.45),1.00 (± 0.06)
30,base,2.11 (± 1.49),3.32 (± 1.29),1.00 (± 0.06),2.00 (± 0.00),2.54 (± 1.32),1.02 (± 0.17)
31,base,2.60 (± 1.74),3.74 (± 1.42),1.01 (± 0.09),1.95 (± 0.21),2.70 (± 1.32),1.00 (± 0.06)
32,base,4.04 (± 1.17),3.30 (± 1.34),3.46 (± 0.80),4.79 (± 0.44),3.65 (± 1.34),4.40 (± 0.92)
33,base,3.09 (± 1.73),3.36 (± 1.47),1.40 (± 0.58),2.07 (± 0.49),2.62 (± 1.14),1.08 (± 0.28)
34,base,4.41 (± 0.84),4.03 (± 1.34),4.88 (± 0.50),4.04 (± 0.19),3.51 (± 1.37),4.84 (± 0.45)
35,base,3.37 (± 1.59),3.35 (± 1.44),1.99 (± 0.49),2.00 (± 0.00),3.17 (± 1.17),1.12 (± 0.33)
36,base,3.96 (± 1.20),3.06 (± 1.34),4.97 (± 0.21),4.80 (± 0.40),3.82 (± 1.09),4.11 (± 0.32)
37,base,2.56 (± 1.67),2.90 (± 1.62),1.03 (± 0.30),1.91 (± 0.28),2.43 (± 1.43),1.06 (± 0.23)
38,base,4.73 (± 0.81),3.45 (± 1.54),4.97 (± 0.18),5.00 (± 0.06),3.84 (± 1.42),4.40 (± 0.49)
39,base,2.67 (± 1.55),3.68 (± 1.04),1.02 (± 0.18),2.00 (± 0.00),2.95 (± 1.35),1.29 (± 0.46)
40,base,3.62 (± 1.59),3.45 (± 1.34),1.01 (± 0.14),3.91 (± 0.41),2.87 (± 1.21),1.13 (± 0.35)
41,base,3.57 (± 1.31),3.43 (± 0.98),1.03 (± 0.31),2.01 (± 0.19),2.63 (± 1.32),1.18 (± 0.43)
42,base,3.97 (± 0.98),3.23 (± 1.19),3.78 (± 0.94),4.67 (± 0.47),3.85 (± 1.24),4.74 (± 0.48)
43,base,3.15 (± 1.56),3.12 (± 1.09),1.13 (± 0.36),4.22 (± 0.42),2.55 (± 1.21),1.27 (± 0.64)
44,base,3.45 (± 1.18),3.96 (± 1.07),4.71 (± 0.46),4.98 (± 0.13),4.06 (± 0.81),4.43 (± 0.50)
45,base,2.76 (± 1.50),3.07 (± 1.27),1.14 (± 0.37),3.01 (± 1.04),2.53 (± 1.31),1.44 (± 0.52)
46,base,2.55 (± 1.36),3.84 (± 1.34),4.97 (± 0.18),4.14 (± 0.34),4.02 (± 0.97),4.21 (± 0.41)
47,base,4.03 (± 1.33),2.88 (± 1.36),1.04 (± 0.27),1.98 (± 0.13),2.44 (± 1.15),1.19 (± 0.39)
48,base,3.23 (± 1.48),3.72 (± 1.18),1.12 (± 0.41),3.99 (± 0.13),3.19 (± 1.14),1.43 (± 0.72)
49,base,3.66 (± 1.25),3.29 (± 1.04),1.04 (± 0.23),2.00 (± 0.00),2.85 (± 1.21),1.08 (± 0.29)
50,base,2.71 (± 1.84),3.31 (± 1.44),1.03 (± 0.20),2.29 (± 1.40),2.82 (± 1.45),1.07 (± 0.33)
